Job Classification,Age (bin),Balance (bin),Gender,Region,Age,Balance
Blue Collar,34,60K,Male,Wales,34,61421.55
White Collar,36,55K,Female,Wales,36,56989.79
White Collar,36,60K,Male,Wales,36,60084.51
Blue Collar,39,50K,Male,Wales,39,51333.22
White Collar,33,0K,Female,Wales,33,1790.25
Other,24,30K,Female,Northern Ireland,24,33611.35
Blue Collar,32,30K,Male,Northern Ireland,32,30923.45
White Collar,24,60K,Female,Northern Ireland,24,63070.39
White Collar,31,40K,Female,England,31,41203.42
White Collar,31,20K,Female,England,31,21890.47
White Collar,45,70K,Female,England,45,74637.96
White Collar,42,0K,Female,England,42,4252.16
White Collar,45,10K,Male,Scotland,45,10273.77
Other,44,5K,Male,Scotland,44,9061.01
Other,58,85K,Male,Scotland,58,86041.55
Blue Collar,52,95K,Male,Scotland,52,96808.76
Blue Collar,36,25K,Female,Wales,36,26783.44
White Collar,24,15K,Female,Wales,24,16637.73
White Collar,31,30K,Male,Wales,31,34008.59
Blue Collar,38,25K,Female,Wales,38,27842.1
Other,42,20K,Female,Wales,42,24020.29
White Collar,40,20K,Female,England,40,22671.13
Blue Collar,32,0K,Male,England,32,4576.45
White Collar,42,15K,Male,England,42,16236.11
Blue Collar,49,30K,Male,Scotland,49,32144.44
Blue Collar,51,50K,Male,Scotland,51,54343.81
Blue Collar,51,60K,Male,Scotland,51,60857.23
White Collar,49,65K,Male,Scotland,49,68252.3
Other,53,110K,Male,Scotland,53,110688.19
Blue Collar,40,30K,Male,Wales,40,34324.69
White Collar,22,10K,Male,Northern Ireland,22,10472.49
White Collar,36,25K,Female,England,36,27754.62
White Collar,44,90K,Male,England,44,94471.86
White Collar,33,20K,Female,England,33,22387.4
Other,48,5K,Male,Scotland,48,8114.82
Blue Collar,51,125K,Male,Scotland,51,126331.75
Blue Collar,57,50K,Male,Scotland,57,50454.73
Blue Collar,64,15K,Male,Scotland,64,15909.96
White Collar,42,35K,Male,Wales,42,39588.61
White Collar,50,55K,Female,Wales,50,57622.79
White Collar,34,45K,Female,Wales,34,48381.35
White Collar,30,20K,Female,Wales,30,20276.08
White Collar,40,15K,Female,Wales,40,18379.01
Blue Collar,46,20K,Female,Northern Ireland,46,22906.99
White Collar,28,145K,Male,Northern Ireland,28,146569.77
Blue Collar,38,45K,Male,England,38,47824.63
Other,38,30K,Female,England,38,30788.33
Blue Collar,29,60K,Male,England,29,62631.04
Other,32,75K,Female,England,32,79617.5
Blue Collar,48,5K,Male,Scotland,48,9997.81
Other,47,15K,Female,Scotland,47,19366.89
Blue Collar,50,70K,Male,Scotland,50,70840.07
Other,50,45K,Male,Scotland,50,48457.18
Blue Collar,52,45K,Male,Scotland,52,49590.89
Blue Collar,53,30K,Male,Scotland,53,33269.35
Blue Collar,26,35K,Female,Wales,26,39944.64
White Collar,46,30K,Female,Wales,46,30255.26
White Collar,34,25K,Female,Wales,34,28272.45
White Collar,35,10K,Male,Northern Ireland,35,11638.39
Other,25,0K,Male,Northern Ireland,25,354.04
White Collar,30,15K,Male,England,30,18150.13
Other,32,50K,Male,England,32,52580.7
White Collar,48,25K,Female,England,48,26493.26
Other,45,15K,Male,Scotland,45,16824.6
Blue Collar,52,15K,Male,Scotland,52,16849.99
Blue Collar,53,65K,Male,Scotland,53,66329.8
Blue Collar,51,25K,Male,Scotland,51,25861.3
Blue Collar,48,25K,Male,Scotland,48,29501.46
Other,52,55K,Male,Scotland,52,58470.37
White Collar,38,35K,Male,Scotland,38,39702.17
Other,48,15K,Male,Scotland,48,19419.68
Blue Collar,35,35K,Male,Wales,35,38041.18
White Collar,35,80K,Male,Wales,35,83727.16
White Collar,33,40K,Male,Wales,33,42548.69
Blue Collar,52,80K,Male,Scotland,52,83902.83
Blue Collar,42,65K,Male,Scotland,42,65655.36
Other,61,5K,Female,Scotland,61,8367.59
Other,59,20K,Female,Scotland,59,24075.18
Other,53,70K,Male,Scotland,53,71478.63
Blue Collar,55,30K,Male,Scotland,55,32611.26
Blue Collar,26,10K,Male,Wales,26,11076.52
Other,22,30K,Female,Northern Ireland,22,30117.88
White Collar,41,20K,Male,England,41,24558.98
White Collar,25,0K,Female,England,25,926.29
White Collar,29,15K,Female,England,29,15392.76
Blue Collar,40,75K,Female,England,40,76093.12
Other,52,15K,Female,Scotland,52,17999.17
Other,37,65K,Male,Scotland,37,66522.71
Blue Collar,60,10K,Male,Scotland,60,13764.72
Blue Collar,23,55K,Male,Scotland,23,57918.09
Blue Collar,42,30K,Female,Wales,42,30630.24
Blue Collar,34,80K,Male,Wales,34,84898.38
Other,36,0K,Male,Wales,36,401.13
White Collar,33,35K,Female,Wales,33,35636.26
White Collar,33,30K,Male,Wales,33,31308.46
Other,42,95K,Female,Northern Ireland,42,96028.9
White Collar,18,35K,Male,Northern Ireland,18,38879.77
Other,34,120K,Female,Northern Ireland,34,121806.79
White Collar,32,10K,Male,England,32,10926.7
White Collar,29,20K,Male,England,29,20969.32
White Collar,45,75K,Female,England,45,79000.32
Other,44,30K,Male,Scotland,44,30742.33
Other,45,70K,Male,Scotland,45,74230.68
Blue Collar,45,50K,Male,Scotland,45,53086.19
Other,60,45K,Male,Scotland,60,49081.5
Blue Collar,58,60K,Male,Scotland,58,61365.17
Other,48,15K,Male,Scotland,48,17261.5
White Collar,31,55K,Female,Wales,31,56873.89
White Collar,34,20K,Female,Wales,34,24796.57
White Collar,40,20K,Female,Wales,40,22691.31
White Collar,34,20K,Male,Wales,34,20385.54
White Collar,28,30K,Female,Northern Ireland,28,34535.68
White Collar,29,70K,Male,England,29,74862.98
White Collar,32,75K,Female,England,32,76517.17
White Collar,38,15K,Female,England,38,18169.19
White Collar,39,50K,Female,England,39,52102.28
Other,53,80K,Female,Scotland,53,82160.5
Blue Collar,54,85K,Male,Scotland,54,87050.11
Blue Collar,54,55K,Male,Scotland,54,55163.34
Other,45,15K,Male,Scotland,45,15444.28
Blue Collar,56,20K,Male,Scotland,56,20747.04
White Collar,59,40K,Female,Scotland,59,44129.74
White Collar,30,15K,Female,Wales,30,16103.61
White Collar,32,35K,Male,Wales,32,37564.21
White Collar,32,85K,Male,Wales,32,88416.84
White Collar,26,0K,Male,Northern Ireland,26,988.73
White Collar,33,90K,Male,Northern Ireland,33,93525.03
White Collar,36,50K,Female,England,36,51542.67
White Collar,43,35K,Male,England,43,39923.4
White Collar,41,0K,Female,England,41,3786.28
Blue Collar,59,25K,Male,Scotland,59,25916.21
Other,43,0K,Male,Scotland,43,2362.16
Other,53,40K,Male,Scotland,53,44740.65
Other,63,20K,Male,Scotland,63,23026.64
Blue Collar,34,60K,Male,Wales,34,61450.2
White Collar,33,80K,Female,Wales,33,83889.98
White Collar,31,60K,Male,Wales,31,63986.32
Blue Collar,40,15K,Male,Wales,40,19438.99
Blue Collar,47,5K,Male,Wales,47,8395.45
White Collar,45,15K,Female,Wales,45,16542.71
Other,28,15K,Male,Wales,28,18064.46
Blue Collar,33,30K,Female,Wales,33,33670.19
Other,38,40K,Female,Northern Ireland,38,41266.87
Other,20,25K,Female,Northern Ireland,20,25398.03
Other,31,30K,Female,Northern Ireland,31,34515.67
Blue Collar,29,55K,Male,Northern Ireland,29,56838.19
Other,38,5K,Female,Northern Ireland,38,7828.3
White Collar,34,40K,Male,England,34,44552.66
Other,47,80K,Female,England,47,83088.67
White Collar,38,15K,Female,England,38,15989.89
White Collar,46,45K,Male,England,46,47074.94
Other,34,45K,Female,England,34,46037.55
Blue Collar,47,5K,Male,Scotland,47,6187.55
Blue Collar,51,15K,Male,Scotland,51,17188.7
Blue Collar,36,15K,Male,Scotland,36,16694.22
Other,43,10K,Male,Scotland,43,12188.75
Blue Collar,22,0K,Male,Scotland,22,837.33
White Collar,35,45K,Female,Wales,35,45887.56
Other,34,35K,Male,Wales,34,35449.82
Other,25,15K,Female,Northern Ireland,25,16380.24
Other,19,0K,Female,Northern Ireland,19,4733.29
Other,37,80K,Female,Northern Ireland,37,81504.12
Other,45,5K,Female,Northern Ireland,45,9490.02
White Collar,26,5K,Female,Northern Ireland,26,9406.12
White Collar,37,45K,Male,Northern Ireland,37,47245.76
White Collar,40,0K,Male,England,40,919.39
White Collar,38,20K,Female,England,38,23848.8
Other,52,40K,Female,Scotland,52,44756.41
White Collar,46,45K,Male,Scotland,46,46084.51
Other,48,135K,Male,Scotland,48,137330.94
Blue Collar,44,5K,Male,Scotland,44,5784.28
Blue Collar,45,85K,Male,Scotland,45,85726.19
White Collar,34,105K,Female,Wales,34,106555.59
Other,39,0K,Female,Wales,39,747.35
White Collar,24,75K,Male,Northern Ireland,24,78004.29
White Collar,22,55K,Female,Northern Ireland,22,58585.68
White Collar,44,15K,Male,England,44,15861
White Collar,32,95K,Male,England,32,97377.64
Other,45,50K,Male,England,45,53554.5
Blue Collar,34,5K,Male,Scotland,34,9347.83
Blue Collar,37,0K,Male,Scotland,37,69.01
Other,32,60K,Male,Wales,32,62131.4
White Collar,22,45K,Female,Wales,22,47414.52
Blue Collar,28,0K,Male,Wales,28,2511.02
White Collar,36,35K,Female,Wales,36,39797.91
Blue Collar,31,95K,Male,Northern Ireland,31,96409.06
Other,32,70K,Female,England,32,74530.06
White Collar,31,10K,Female,England,31,12994.54
White Collar,48,5K,Male,England,48,9344.48
Blue Collar,47,20K,Male,Scotland,47,24930.12
White Collar,53,25K,Male,Scotland,53,25554.52
Blue Collar,36,65K,Female,Wales,36,65364.64
Blue Collar,38,65K,Male,Wales,38,69471.06
White Collar,47,35K,Female,England,47,39175.76
White Collar,22,0K,Male,England,22,3932.55
White Collar,51,10K,Female,England,51,10872.02
White Collar,45,55K,Female,Scotland,45,56216.25
Blue Collar,55,5K,Male,Scotland,55,8441.89
Other,47,15K,Male,Scotland,47,17538.34
White Collar,41,130K,Male,Wales,41,132675.53
Other,31,15K,Female,Northern Ireland,31,18645.55
White Collar,28,30K,Female,England,28,34796.83
Blue Collar,29,30K,Female,England,29,33338.42
Other,27,5K,Female,England,27,8680.37
Blue Collar,45,60K,Male,Scotland,45,62071.23
Blue Collar,39,25K,Male,Scotland,39,27582.12
White Collar,53,35K,Female,Scotland,53,35865.54
Other,54,5K,Male,Scotland,54,8844.87
Blue Collar,49,55K,Male,Scotland,49,56825.53
White Collar,46,30K,Female,Scotland,46,34711.98
Other,52,15K,Male,Scotland,52,17953.05
White Collar,39,25K,Female,England,39,26507.93
White Collar,39,65K,Male,England,39,68856.42
White Collar,41,35K,Male,England,41,37768.87
White Collar,29,5K,Male,England,29,9644.68
Other,48,55K,Female,Scotland,48,58229.1
Other,52,45K,Female,Scotland,52,45693.28
White Collar,23,45K,Female,Wales,23,46151.71
White Collar,33,90K,Female,Wales,33,91205.06
Other,33,0K,Male,Wales,33,1657.46
White Collar,29,15K,Female,Wales,29,15006.48
White Collar,45,10K,Male,England,45,14279.24
White Collar,34,80K,Female,England,34,84823.05
White Collar,47,15K,Female,England,47,15879.06
Other,55,5K,Female,Scotland,55,9885.69
Blue Collar,52,15K,Male,Scotland,52,19187.18
Blue Collar,53,40K,Male,Scotland,53,42226.31
Blue Collar,34,25K,Male,Wales,34,29527.41
Blue Collar,36,60K,Male,England,36,61120.3
White Collar,34,20K,Female,England,34,22808.73
Other,33,25K,Male,England,33,27818.08
White Collar,35,35K,Male,England,35,36442.3
White Collar,31,70K,Female,England,31,71026.81
Other,45,10K,Male,Scotland,45,13683.26
Other,29,55K,Female,Northern Ireland,29,57983.8
White Collar,21,25K,Male,Northern Ireland,21,27022.94
White Collar,37,15K,Male,England,37,17556.02
White Collar,36,65K,Male,England,36,65227.05
Blue Collar,54,30K,Male,Scotland,54,30687.34
Other,42,60K,Male,Scotland,42,62472.65
White Collar,40,35K,Male,England,40,38087.63
White Collar,35,45K,Female,England,35,48766.55
White Collar,29,55K,Male,Northern Ireland,29,57397.59
White Collar,25,130K,Female,England,25,130797.71
White Collar,44,55K,Male,England,44,55484.77
White Collar,32,25K,Male,England,32,27236.35
Other,42,0K,Female,England,42,1081.38
Blue Collar,64,0K,Male,Scotland,64,3775.44
Blue Collar,49,55K,Male,Scotland,49,56695.35
Other,35,20K,Female,Scotland,35,22134.94
Blue Collar,45,70K,Male,Wales,45,70114.57
Blue Collar,46,20K,Female,England,46,20515.25
White Collar,29,30K,Female,England,29,31495.71
White Collar,27,75K,Male,England,27,78010.57
White Collar,25,0K,Female,England,25,2703.33
Blue Collar,36,40K,Male,England,36,44399.73
White Collar,32,15K,Male,England,32,19378.62
White Collar,53,20K,Male,Wales,53,22477.05
White Collar,36,15K,Female,England,36,15461.71
White Collar,42,40K,Male,England,42,40303.71
Blue Collar,40,10K,Male,Scotland,40,10718.8
Blue Collar,41,65K,Male,Scotland,41,67100.09
Blue Collar,25,15K,Female,Wales,25,15700.14
Blue Collar,45,10K,Male,England,45,12326.19
White Collar,33,20K,Female,England,33,20019.58
White Collar,38,5K,Female,England,38,9100.32
Blue Collar,47,5K,Female,England,47,9098.32
Other,31,20K,Male,England,31,20938.59
Other,42,80K,Female,Scotland,42,82725.38
Blue Collar,58,35K,Male,Scotland,58,36743
Other,43,55K,Female,Scotland,43,57420.82
Blue Collar,56,30K,Male,Scotland,56,31933.56
White Collar,38,0K,Male,England,38,4562.77
White Collar,44,15K,Female,England,44,19645.17
White Collar,34,20K,Male,England,34,22571.15
White Collar,38,15K,Male,England,38,19703.37
White Collar,40,75K,Male,England,40,79434.98
White Collar,46,20K,Female,England,46,20383.64
White Collar,30,35K,Female,England,30,35243.71
White Collar,34,10K,Female,England,34,10218.7
White Collar,47,65K,Male,England,47,69979.67
White Collar,35,25K,Female,England,35,26731.12
White Collar,34,75K,Female,England,34,76181.33
White Collar,22,30K,Female,England,22,31498.96
White Collar,31,35K,Male,England,31,38820.41
Blue Collar,31,20K,Female,England,31,20304.1
Blue Collar,38,40K,Female,England,38,40515.6
White Collar,23,10K,Male,England,23,13049.38
White Collar,42,35K,Female,England,42,38638.28
White Collar,24,35K,Female,England,24,38243.22
White Collar,45,25K,Female,England,45,29123.62
Blue Collar,54,55K,Male,Scotland,54,55672.22
Other,38,15K,Female,Scotland,38,18241.98
White Collar,26,50K,Female,Wales,26,54186.89
White Collar,37,40K,Male,England,37,44096.51
Blue Collar,26,70K,Male,England,26,70346.54
Other,32,45K,Female,England,32,48355
White Collar,27,35K,Male,England,27,37191.94
White Collar,41,10K,Female,England,41,12212.85
Other,39,45K,Female,England,39,46957.62
White Collar,33,20K,Female,England,33,20359.61
Blue Collar,59,20K,Male,Scotland,59,21784.09
Blue Collar,49,65K,Male,Scotland,49,66375.91
White Collar,47,20K,Female,England,47,24797.11
Blue Collar,40,25K,Female,England,40,27635.28
White Collar,34,15K,Female,England,34,17308.75
White Collar,38,95K,Female,England,38,95477.25
White Collar,37,45K,Male,England,37,46682.59
Other,43,20K,Male,Scotland,43,21136.88
Blue Collar,52,50K,Male,Scotland,52,51689.74
Other,29,15K,Female,Wales,29,16037.16
White Collar,31,20K,Female,England,31,24602.08
White Collar,47,70K,Male,England,47,71446.54
White Collar,31,35K,Male,England,31,35693.86
Other,44,95K,Female,Scotland,44,96860.93
Blue Collar,43,30K,Male,Scotland,43,30323.97
Other,48,0K,Male,Scotland,48,1341.31
Other,56,40K,Male,Scotland,56,40922.28
Blue Collar,39,50K,Male,Wales,39,54165.92
Blue Collar,25,145K,Female,Northern Ireland,25,149698.12
Other,26,50K,Female,Northern Ireland,26,54272.56
White Collar,35,90K,Male,Northern Ireland,35,93787.01
Other,34,55K,Female,England,34,57387.06
White Collar,24,40K,Female,England,24,41988.65
White Collar,28,70K,Female,England,28,73859.27
Other,23,50K,Male,England,23,50104.04
White Collar,43,25K,Male,England,43,29188.4
White Collar,30,70K,Female,England,30,73490.09
White Collar,40,60K,Female,England,40,62886.29
Other,60,65K,Female,Scotland,60,66713
White Collar,34,5K,Male,England,34,7729.88
White Collar,49,60K,Male,England,49,60180.76
White Collar,37,85K,Female,England,37,87912.9
White Collar,30,20K,Male,England,30,21157.3
White Collar,35,20K,Female,England,35,22932.94
White Collar,35,20K,Female,England,35,21314.68
White Collar,42,20K,Female,England,42,22298.93
White Collar,30,10K,Female,England,30,14184.7
Blue Collar,32,20K,Male,England,32,23899.56
White Collar,35,10K,Female,England,35,14360.43
Other,32,40K,Female,England,32,42248.4
White Collar,36,5K,Female,England,36,9406.07
Blue Collar,28,5K,Female,England,28,6921.74
Blue Collar,52,25K,Male,Scotland,52,29715
Other,42,65K,Male,Scotland,42,65530.32
Blue Collar,58,25K,Male,Scotland,58,27878.55
Blue Collar,48,0K,Male,Scotland,48,4941.65
White Collar,40,30K,Male,Scotland,40,32790.32
Other,47,25K,Female,Scotland,47,29481.76
Other,47,15K,Male,Scotland,47,15090.98
Blue Collar,62,25K,Male,Scotland,62,29719.47
Blue Collar,53,15K,Male,Scotland,53,15668.02
Other,56,105K,Female,Scotland,56,105138.65
White Collar,53,45K,Female,Scotland,53,45663.95
Other,50,0K,Male,Scotland,50,2347.34
Blue Collar,55,10K,Male,Scotland,55,12231.08
Blue Collar,36,55K,Male,Wales,36,56653.07
White Collar,40,20K,Female,Wales,40,24435.72
Blue Collar,41,75K,Male,Wales,41,77995.62
White Collar,33,45K,Male,Wales,33,49775.7
White Collar,41,50K,Male,Northern Ireland,41,53685.06
White Collar,22,20K,Female,Northern Ireland,22,22515.19
Other,38,80K,Male,England,38,80709.15
White Collar,33,60K,Male,England,33,60205.51
Blue Collar,26,20K,Female,England,26,23694.9
White Collar,36,30K,Female,England,36,31644.37
Other,49,25K,Female,Scotland,49,26688.85
Blue Collar,50,35K,Male,Scotland,50,38577.66
Other,56,50K,Male,Scotland,56,54809.65
Blue Collar,59,25K,Female,Scotland,59,29417.52
Blue Collar,52,30K,Male,Scotland,52,30981.38
Blue Collar,38,20K,Female,Wales,38,23669.58
White Collar,42,60K,Female,Wales,42,61134.99
White Collar,38,20K,Male,England,38,21138.46
White Collar,21,85K,Female,England,21,89067.87
White Collar,32,20K,Female,England,32,20852.18
White Collar,23,25K,Male,England,23,28959.8
White Collar,32,85K,Male,England,32,85709.46
Other,25,85K,Female,England,25,86275.31
Other,58,10K,Male,Scotland,58,11596.34
Blue Collar,43,70K,Male,Scotland,43,74155.05
Other,61,75K,Female,Scotland,61,75200.68
Other,43,25K,Female,Scotland,43,27580.15
White Collar,45,15K,Female,Wales,45,17753.01
White Collar,28,25K,Male,Wales,28,28240.06
White Collar,19,65K,Male,England,19,65493.89
Other,31,70K,Female,England,31,74414.09
White Collar,34,105K,Female,England,34,107641.39
Other,37,40K,Female,Scotland,37,42322.58
Other,57,60K,Female,Scotland,57,64620.15
Blue Collar,56,45K,Male,Scotland,56,48707.14
Blue Collar,56,25K,Male,Scotland,56,27458.53
Blue Collar,42,5K,Male,Scotland,42,7562.83
White Collar,39,105K,Female,Northern Ireland,39,107680.1
Other,34,40K,Female,England,34,40542.83
Blue Collar,43,80K,Male,England,43,80880.83
White Collar,33,0K,Male,England,33,3226.71
Blue Collar,43,65K,Male,Scotland,43,68551.15
Blue Collar,33,75K,Male,Wales,33,77870.46
Blue Collar,35,55K,Male,Wales,35,56611.75
Other,29,80K,Female,England,29,81080.08
White Collar,34,40K,Male,England,34,40109.99
White Collar,44,70K,Female,England,44,74948.24
Other,36,80K,Male,England,36,82776.89
Other,60,30K,Male,Scotland,60,34597.56
Other,29,0K,Female,Northern Ireland,29,4406.82
Blue Collar,18,20K,Female,England,18,20389.34
Blue Collar,21,55K,Female,England,21,59639.46
Blue Collar,21,40K,Female,England,21,41703.21
Blue Collar,21,110K,Female,England,21,113673.32
Blue Collar,22,85K,Female,England,22,87500.9
Blue Collar,22,35K,Female,England,22,37906.5
Blue Collar,22,0K,Female,England,22,2301.9
Blue Collar,23,0K,Female,England,23,2092.59
Blue Collar,24,55K,Female,England,24,55477.57
Blue Collar,24,75K,Female,England,24,77514.08
Blue Collar,25,45K,Female,England,25,47846.97
Blue Collar,25,5K,Female,England,25,5490.74
Blue Collar,25,30K,Female,England,25,31113.33
Blue Collar,27,30K,Female,England,27,32313.23
Blue Collar,27,0K,Female,England,27,134.94
Blue Collar,27,55K,Female,England,27,59292.8
Blue Collar,27,115K,Female,England,27,115220.03
Blue Collar,27,50K,Female,England,27,51197.28
Blue Collar,27,25K,Female,England,27,27565.54
Blue Collar,27,0K,Female,England,27,3471.22
Blue Collar,28,30K,Female,England,28,31878.71
Blue Collar,28,15K,Female,England,28,16210.13
Blue Collar,28,65K,Female,England,28,68518.55
Blue Collar,28,10K,Female,England,28,13618.72
Blue Collar,28,25K,Female,England,28,28581.78
Blue Collar,29,15K,Female,England,29,18800.25
Blue Collar,29,55K,Female,England,29,56296.6
Blue Collar,29,15K,Female,England,29,18984.55
Blue Collar,29,55K,Female,England,29,55720.37
Blue Collar,29,0K,Female,England,29,1434.13
Blue Collar,30,90K,Female,England,30,94490.55
Blue Collar,30,5K,Female,England,30,8100.12
Blue Collar,30,110K,Female,England,30,113533.08
Blue Collar,30,10K,Female,England,30,13717.09
Blue Collar,30,25K,Female,England,30,27944.23
Blue Collar,31,25K,Female,England,31,29943.33
Blue Collar,31,35K,Female,England,31,38379.6
Blue Collar,31,60K,Female,England,31,63449.29
Blue Collar,31,20K,Female,England,31,23951.94
Blue Collar,32,10K,Female,England,32,10488.42
Blue Collar,32,10K,Female,England,32,10818.08
Blue Collar,32,25K,Female,England,32,28086.32
Blue Collar,32,10K,Female,England,32,12013.82
Blue Collar,32,40K,Female,England,32,42968.77
Blue Collar,32,50K,Female,England,32,50886.35
Blue Collar,32,35K,Female,England,32,37935.65
Blue Collar,32,40K,Female,England,32,41881.91
Blue Collar,32,50K,Female,England,32,50290.76
Blue Collar,33,15K,Female,England,33,16040.88
Blue Collar,33,45K,Female,England,33,45536.82
Blue Collar,33,40K,Female,England,33,40186.04
Blue Collar,33,30K,Female,England,33,32418.13
Blue Collar,33,15K,Female,England,33,19416.33
Blue Collar,34,15K,Female,England,34,15667.57
Blue Collar,34,55K,Female,England,34,55704.09
Blue Collar,34,0K,Female,England,34,4561.22
Blue Collar,34,90K,Female,England,34,91324.46
Blue Collar,34,0K,Female,England,34,3279.7
Blue Collar,34,75K,Female,England,34,75592.09
Blue Collar,34,40K,Female,England,34,41064.35
Blue Collar,34,30K,Female,England,34,32700.03
Blue Collar,35,35K,Female,England,35,38448.21
Blue Collar,35,5K,Female,England,35,6083.13
Blue Collar,35,35K,Female,England,35,39047.45
Blue Collar,35,50K,Female,England,35,53586.79
Blue Collar,35,85K,Female,England,35,87960.01
Blue Collar,35,85K,Female,England,35,88873.04
Blue Collar,35,15K,Female,England,35,17717.33
Blue Collar,35,15K,Female,England,35,15477.05
Blue Collar,35,40K,Female,England,35,40095.85
Blue Collar,35,40K,Female,England,35,43833.84
Blue Collar,35,0K,Female,England,35,168.18
Blue Collar,35,20K,Female,England,35,21420.72
Blue Collar,35,90K,Female,England,35,90913.77
Blue Collar,35,0K,Female,England,35,3673.79
Blue Collar,36,70K,Female,England,36,72728.32
Blue Collar,36,20K,Female,England,36,23247.17
Blue Collar,36,15K,Female,England,36,18925.43
Blue Collar,36,85K,Female,England,36,88957.46
Blue Collar,36,45K,Female,England,36,49350.39
Blue Collar,37,15K,Female,England,37,16408.46
Blue Collar,37,60K,Female,England,37,61138.64
Blue Collar,37,40K,Female,England,37,42453.12
Blue Collar,37,70K,Female,England,37,74238.83
Blue Collar,37,25K,Female,England,37,25978.37
Blue Collar,37,40K,Female,England,37,43420.7
Blue Collar,37,50K,Female,England,37,54692.79
Blue Collar,37,10K,Female,England,37,11073.76
Blue Collar,38,90K,Female,England,38,94159.68
Blue Collar,38,30K,Female,England,38,31728.14
Blue Collar,38,0K,Female,England,38,3761.07
Blue Collar,39,10K,Female,England,39,10685.07
Blue Collar,39,20K,Female,England,39,23208.75
Blue Collar,39,105K,Female,England,39,106334.38
Blue Collar,39,20K,Female,England,39,21924.56
Blue Collar,39,50K,Female,England,39,54045.93
Blue Collar,39,60K,Female,England,39,63992.1
Blue Collar,39,30K,Female,England,39,33581.76
Blue Collar,40,10K,Female,England,40,13612.39
Blue Collar,40,30K,Female,England,40,31439.06
Blue Collar,40,110K,Female,England,40,114118.53
Blue Collar,41,10K,Female,England,41,12434.03
Blue Collar,41,0K,Female,England,41,964.1
Blue Collar,41,40K,Female,England,41,43298.43
Blue Collar,41,50K,Female,England,41,52991.99
Blue Collar,41,10K,Female,England,41,12978.24
Blue Collar,41,30K,Female,England,41,33934.22
Blue Collar,41,45K,Female,England,41,45505.77
Blue Collar,41,105K,Female,England,41,105902.66
Blue Collar,42,10K,Female,England,42,10810.61
Blue Collar,42,75K,Female,England,42,77228.1
Blue Collar,42,50K,Female,England,42,51786.07
Blue Collar,42,30K,Female,England,42,34017.93
Blue Collar,42,25K,Female,England,42,25710.04
Blue Collar,42,45K,Female,England,42,46452.14
Blue Collar,43,20K,Female,England,43,20996.83
Blue Collar,43,20K,Female,England,43,23540.79
Blue Collar,43,50K,Female,England,43,50078.57
Blue Collar,43,35K,Female,England,43,38227.22
Blue Collar,44,0K,Female,England,44,4837.23
Blue Collar,45,35K,Female,England,45,38404.23
Blue Collar,45,20K,Female,England,45,22420.34
Blue Collar,45,10K,Female,England,45,12508.07
Blue Collar,46,0K,Female,England,46,4907.58
Blue Collar,46,5K,Female,England,46,9564.07
Blue Collar,47,15K,Female,England,47,15690.97
Blue Collar,49,35K,Female,England,49,36294.12
Blue Collar,52,25K,Female,England,52,27309.33
Blue Collar,17,95K,Female,Northern Ireland,17,97610.35
Blue Collar,18,30K,Female,Northern Ireland,18,31948.6
Blue Collar,19,0K,Female,Northern Ireland,19,69.78
Blue Collar,19,60K,Female,Northern Ireland,19,63979.4
Blue Collar,21,50K,Female,Northern Ireland,21,51615.61
Blue Collar,21,10K,Female,Northern Ireland,21,11236.25
Blue Collar,26,65K,Female,Northern Ireland,26,65999.04
Blue Collar,27,45K,Female,Northern Ireland,27,48456.97
Blue Collar,27,0K,Female,Northern Ireland,27,1897.88
Blue Collar,29,50K,Female,Northern Ireland,29,50213.26
Blue Collar,29,10K,Female,Northern Ireland,29,13733.52
Blue Collar,31,35K,Female,Northern Ireland,31,39120.91
Blue Collar,31,45K,Female,Northern Ireland,31,46207.53
Blue Collar,31,5K,Female,Northern Ireland,31,6057.88
Blue Collar,33,55K,Female,Northern Ireland,33,59125.17
Blue Collar,34,15K,Female,Northern Ireland,34,15263.47
Blue Collar,34,15K,Female,Northern Ireland,34,17843.97
Blue Collar,35,15K,Female,Northern Ireland,35,17947.14
Blue Collar,36,15K,Female,Northern Ireland,36,19799.42
Blue Collar,37,55K,Female,Northern Ireland,37,59970.28
Blue Collar,39,20K,Female,Northern Ireland,39,21272.69
Blue Collar,40,55K,Female,Northern Ireland,40,58691.17
Blue Collar,26,75K,Female,Scotland,26,76714.19
Blue Collar,28,35K,Female,Scotland,28,39597.2
Blue Collar,42,15K,Female,Scotland,42,15178.11
Blue Collar,43,40K,Female,Scotland,43,40769.29
Blue Collar,46,65K,Female,Scotland,46,68527.61
Blue Collar,46,50K,Female,Scotland,46,53327.97
Blue Collar,46,15K,Female,Scotland,46,16995.99
Blue Collar,51,50K,Female,Scotland,51,52001.9
Blue Collar,51,20K,Female,Scotland,51,24237.4
Blue Collar,51,5K,Female,Scotland,51,7573.67
Blue Collar,52,40K,Female,Scotland,52,43787.71
Blue Collar,52,30K,Female,Scotland,52,34890.3
Blue Collar,52,95K,Female,Scotland,52,97609.31
Blue Collar,55,30K,Female,Scotland,55,33460.57
Blue Collar,56,30K,Female,Scotland,56,32792.43
Blue Collar,57,55K,Female,Scotland,57,55886.74
Blue Collar,57,30K,Female,Scotland,57,31824.47
Blue Collar,59,10K,Female,Scotland,59,14569.22
